순위,제목,저자,출판사,가격
90,윤슬의 바다,백은별,바른북스,"13,500"
91,맞춤법 천재라면,박정란,슈크림북,"13,500"
92,학생회에도 구멍은 있다! 9,무치마로,소미미디어,"5,400"
93,칼의 노래,김훈,문학동네,"15,300"
94,"그런 날이 있잖아, 불행을 만났다가 잘 헤어진 날",배서영,캐스팅북스,"16,200"
95,2025 문동균 한국사 지방직 대비 실전 봉투모의고사,문동균,에스티유니타스,"10,800"
96,2025 제16회 젊은작가상 수상작품집,백온유,문학동네,"6,930"
97,파과 (리커버),구병모,위즈덤하우스,"14,220"
98,나는 월급쟁이 배당 부자가 되었다,환상감자(이은호),길벗,"19,800"
99,빨간내복야코 국어 3 : 어휘 절대 안 틀리는 책,빨간내복야코,위즈덤하우스,"12,600"
100,여름,이디스 워튼,민음사,"10,800"
101,타키 포오 코믹 어드벤처 8,캐릭온TV,대원씨아이(단행)(대원키즈),"13,050"
102,만화 나 혼자만 레벨업 14,추공,디앤씨웹툰비즈,"14,400"
103,의사 어벤저스 22,고희정,가나출판사,"14,220"
104,초역 부처의 말 필사집,코이케 류노스케,포레스트북스,"19,800"
105,코스모스,칼 에드워드 세이건,사이언스북스,"17,910"
106,인생을 바꾸는 이메일 쓰기,이슬아,이야기장수,"16,020"
107,경험의 멸종,크리스틴 로젠,어크로스,"17,820"
108,어쩌다 좋은 일이 생길지도,요시타케 신스케,주니어김영사,"12,600"
109,흔한남매 과학 탐험대 14 화학 반응,흔한남매,주니어김영사,"15,120"
110,자유론,존 스튜어트 밀,책세상,"8,910"
111,사피엔스,유발 하라리,김영사,"24,120"
112,블루 록 -Episode 나기- 6,카네시로 무네유키,학산문화사,"5,400"
113,한국형 모멘텀 투자 실전 매매법,이가근,메이트북스,"21,600"
114,괴수 8호 15 트리플특장판,마츠모토 나오야,서울미디어코믹스(서울문화사),"5,400"
115,내가 나라서 정말 좋아,김지훤,길벗,"15,120"
116,"마침내, 안녕",유월,서사원,"15,300"
117,신중년 꿈을 이루다,권미경,커리어컨설팅,"16,200"
118,세상을 움직이는 놀라운 화학,표트르 발치트,미디어숲,"16,920"
119,단 3개의 미국 ETF로 은퇴하라,김지훈(포메뽀꼬),리더스북,"17,820"
120,ETS 토익기출 파트별 VOCA 보카,ETS,YBM(와이비엠),"11,700"
121,2025 신용한 행정학 실전과 가장 유사한 지방직 9급 모의고사,신용한,메가공무원(넥스트스터디),"14,400"
122,붙잡지 않는 삶,에크하르트 톨레,스노우폭스북스,"17,820"
123,나는 소망한다 내게 금지된 것을,양귀자,쓰다,"13,500"
124,질문의 격,유선경,앤의서재,"16,020"
125,2025 선재국어 최우선 실전 봉투 모의고사,이선재,수비니겨,"16,200"
126,돈의 심리학 (30만 부 기념 스페셜 에디션),모건 하우절,인플루엔셜,"17,820"
127,데일 카네기 자기관리론,데일 카네기,현대지성,"10,350"
128,지극히 사적인 일본,나리카와 아야,틈새책방,"19,800"
129,부글부글 과자 공장,유하은,다산어린이,"15,120"
130,이처럼 사소한 것들,클레어 키건,다산책방,"12,420"
131,우린 아직 인터루드에 있어,엘 캐피탄,비에이블,"16,200"
132,루리 드래곤 3,신도 마사오키,서울미디어코믹스(서울문화사),"5,400"
133,행동은 불안을 이긴다,롭 다이얼,서삼독,"18,000"
134,2025 시대에듀 한국실용글쓰기 실제 기출로 끝내기,이원근,시대고시기획 시대교육,"18,000"
135,마음에 힘이 되는 하루 한 문장 영어 필사,위혜정,센시오,"19,800"
136,행동하지 않으면 인생은 바뀌지 않는다,브라이언 트레이시,현대지성,"15,210"
137,영어로 문장 만들기 훈련 1차 임계점,유은하,사람in,"19,800"
138,뿐이 토핑 이유식,정주희,서사원,"26,820"
139,28시간에 끝내는 토익스피킹 스타트,황인기,시원스쿨닷컴,"16,110"
140,데미안,헤르만 헤세,민음사,"7,200"
141,료의 생각 없는 생각,료,열림원,"18,000"
142,최애의 아이 16,아카사카 아카,대원,"7,110"
143,"엔비디아 젠슨 황, 생각하는 기계",스티븐 위트,알에이치코리아(RHK),"25,200"
144,살아갈 날들을 위한 괴테의 시,김종원,퍼스트펭귄,"17,100"
145,여름을 한 입 베어 물었더니,이꽃님,문학동네,"11,250"
146,자유론,존 스튜어트 밀,현대지성,"7,920"
147,1984,조지 오웰,민음사,"9,900"
148,비전공자도 이해할 수 있는 챗GPT,박상길,비즈니스북스,"17,550"
149,해커스 토익 RC Reading(리딩) 기본서,David Cho,해커스어학연구소,"16,920"
150,어서 오세요 실력지상주의 교실에 1학년 편 공식 가이드북 First File,키누가사 쇼고,소미미디어,"9,900"
151,소설 보다 : 여름 2025,김지연,문학과지성사,"4,950"
152,단 한 줄만 내 마음에 새긴다고 해도,나민애,포레스트북스,"21,420"
153,그래서 이런 법이 생겼대요,우리누리,길벗스쿨,"13,500"
154,손실은 짧게 수익은 길게,깡토,이레미디어,"22,500"
155,왜 그들만 부자가 되는가,필립 바구스,북모먼트,"19,800"
156,내가 한 말을 내가 오해하지 않기로 함,문상훈,위너스북,"17,820"
157,적절한 좌절,김경일,저녁달,"18,000"
158,세이노의 가르침 100만 부 기념 특별보급판,세이노(SayNo),데이원,"4,500"
159,해커스 토익 LC Listening(리스닝) 기본서,David Cho,해커스어학연구소,"16,920"
160,돈의 속성 400쇄 리커버,김승호,스노우폭스북스,"16,020"
161,식탐 해방,저드슨 브루어,푸른숲,"17,820"
162,마침내 멸망하는 여름,정,BOOKK(부크크),"9,900"
163,어른의 기분 관리법,손힘찬,어센딩,"15,120"
164,구의 증명,최진영,은행나무,"10,800"
165,ETS 토익 단기공략 750+ (LC+RC),ETS,YBM(와이비엠),"16,200"
166,신광은 1개년 최신판례 선택형 OX,신광은,느루,"13,500"
